Harbourfront,NE1,Outram Park,NE3,4
Outram Park,NE3,Chinatown,NE4,1
Chinatown,NE4,Clarke Quay,NE5,2
Clarke Quay,NE5,Dhoby Ghaut,NE6,3
Dhoby Ghaut,NE6,Little India,NE7,1
Little India,NE7,Farrer Park,NE8,1
Farrer Park,NE8,Boon Keng,NE9,2
Boon Keng,NE9,Potong Pasir,NE10,3
Potong Pasir,NE10,Woodleigh,NE11,1
Woodleigh,NE11,Serangoon,NE12,2
Serangoon,NE12,Kovan,NE13,3
Kovan,NE13,Hougang,NE14,2
Hougang,NE14,Buangkok,NE15,2
Buangkok,NE15,Sengkang,NE16,2
Sengkang,NE16,Punggol,NE17,3
Changi Airport,CG2,Expo,CG1,6
Expo,CG1,Tanah Merah,CG,2
Tanah Merah,EW4,Simei,EW3,3
Simei,EW3,Tampines,EW2,3
Tampines,EW2,Pasir Ris,EW1,3
Tanah Merah,EW4,Bedok,EW5,3
Bedok,EW5,Kembangan,EW6,3
Kembangan,EW6,Eunos,EW7,2
Eunos,EW7,Paya Lebar,EW8,2
Paya Lebar,EW8,Aljunied,EW9,3
Aljunied,EW9,Kallang,EW10,2
Kallang,EW10,Lavender,EW11,3
Lavender,EW11,Bugis,EW12,2
Bugis,EW12,City Hall,EW13,2
City Hall,EW13,Raffles Place,EW14,3
Raffles Place,EW14,Tanjong Pagar,EW15,2
Tanjong Pagar,EW15,Outram Park,EW16,2
Outram Park,EW16,Tiong Bahru,EW17,3
Tiong Bahru,EW17,Redhill,EW18,3
Redhill,EW18,Queenstown,EW19,2
Queenstown,EW19,Commonwealth,EW20,3
Commonwealth,EW20,Buona Vista,EW21,2
Buona Vista,EW21,Dover,EW22,3
Dover,EW22,Clementi,EW23,2
Clementi,EW23,Jurong East,EW24,5
Jurong East,EW24,Chinese Garden,EW25,2
Chinese Garden,EW25,Lakeside,EW26,3
Lakeside,EW26,Boon Lay,EW27,2
Boon Lay,EW27,Pioneer,EW28,3
